"ZIP","Outcome","IRR","IRR_low","IRR_high","p.value","std.error","statistic"
"92201","Hospitalizations",0.56583388584173,0.21236756168589,1.50761248010328,0.254740918051787,0.5,-1.1389094635342
"92203","Hospitalizations",0.562460681225855,0.169371294262851,1.86786089875468,0.347381796524052,0.612372435695794,-0.939679864486037
"92210","Hospitalizations",9.97266671972041e-12,0,Inf,0.999893252905794,189338.660768068,-0.000133787642685157
"92211","Hospitalizations",0.34293150684932,0.0728238242595294,1.61488385958468,0.175819705037125,0.790569415042094,-1.35373886198919
"92220","Hospitalizations",1.40417464401103,0.554192677007776,3.55779950310644,0.47422430543341,0.474341649025257,0.715622777140858
"92223","Hospitalizations",0.523227622338655,0.189736992134926,1.44287701463866,0.210733867957919,0.517549169506766,-1.25155004279164
"92230","Hospitalizations",2.28826509530904e-11,0,Inf,0.9998967528136,189338.660768058,-0.000129401158714267
"92234","Hospitalizations",0.811667819470876,0.313161758704292,2.10371998129789,0.66761236321537,0.485912657903775,-0.42942719941086
"92236","Hospitalizations",0.4378206324037,0.131838988289064,1.45394703528892,0.177412743705934,0.612372435695795,-1.34876411705479
"92239","Hospitalizations",2.88431019498556e-10,0,Inf,0.999907431566887,189338.660768048,-0.000116017326149808
"92240","Hospitalizations",4.47385319419333,2.09078376455016,9.57313842902366,0.000113282461924407,0.388125012903093,3.86022544185853
"92241","Hospitalizations",1.08856099257886,0.231163287233837,5.12609527552535,0.914522350378667,0.790569415042095,0.107336094861398
"92253","Hospitalizations",0.613081554818325,0.200566644809054,1.87403540212928,0.390774254883266,0.570087712549569,-0.858214094089455
"92254","Hospitalizations",4.46868728604281e-12,0,Inf,0.999889870054775,189338.660768053,-0.000138027417730996
"92260","Hospitalizations",0.457924132548542,0.121486315980129,1.72607515075717,0.248627324045224,0.67700320038633,-1.15368990515993
"92262","Hospitalizations",1.62081319060776,0.625350293710953,4.20090215878648,0.320292194267526,0.485912657903775,0.993857609912971
"92264","Hospitalizations",1.3907777777778,0.482565610489311,4.00828982653622,0.541340034100418,0.540061724867322,0.610787855945018
"92270","Hospitalizations",0.540302158273391,0.114736816639115,2.54431341905788,0.436148749768306,0.790569415042094,-0.778713079260666
"92276","Hospitalizations",6.28660666356765e-12,0,Inf,0.999891308426319,189338.660768058,-0.000136224686322961
"92282","Hospitalizations",3.22409506400641e-11,0,Inf,0.999898197639527,189338.660768055,-0.000127590337939299
"92320","Hospitalizations",0.439501404494389,0.0549698677636225,3.51395214161983,0.438282428275263,1.06066017177982,-0.775096857665864
"92501","Hospitalizations",4.03929639023513,1.76829712878624,9.22690822857685,0.000924878616868922,0.421463615211763,3.31243425430914
"92503","Hospitalizations",0.744704902427427,0.312413253772113,1.77516601809724,0.505996385189524,0.443202630213959,-0.665084598109212
"92504","Hospitalizations",0.904486730314457,0.36381678361397,2.24864899631179,0.828952445128184,0.464660188642293,-0.216045289546047
"92505","Hospitalizations",0.353834121704395,0.106548502229204,1.17503843848501,0.0897797296096041,0.612372435695794,-1.6965607820722
"92506","Hospitalizations",0.31779072916432,0.0843092167341055,1.19786366728202,0.0904004357522195,0.67700320038633,-1.69328918470297
"92507","Hospitalizations",0.454832848837216,0.157815788314092,1.31085059734106,0.14462870246828,0.540061724867322,-1.45876898221734
